DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.66,20615,64.37,0,0,0,0,0,7.11,0,0,28.51,99.99
2.73,20616,63.16,0,0,0,0,3.61,5.23,0,0,27.97,99.97
2.74,20617,62.57,0,0,0,0,5.37,4.32,0,0,27.72,99.98
2.77,20618,62,0,0,0,0,7.1,3.42,0,0,27.46,99.98
2.73,20619,61.43,0,0,0,0,8.8,2.54,0,0,27.21,99.98
2.73,20620,60.88,0,0,0,0,10.46,1.68,0,0,26.96,99.98
2.74,20621,59.8,0,0,0,0,13.7,0,0,0,26.49,99.99
2.65,20622,64.37,0,0,0,0,0,7.11,0,0,28.51,99.99
2.68,20623,63.16,0,0,0,0,3.61,5.23,0,0,27.97,99.97
2.73,20624,62.57,0,0,0,0,5.37,4.32,0,0,27.72,99.98
2.76,20625,62,0,0,0,0,7.1,3.42,0,0,27.46,99.98
2.77,20626,61.43,0,0,0,0,8.8,2.54,0,0,27.21,99.98
2.76,20627,59.8,0,0,0,0,13.7,0,0,0,26.49,99.99
2.89,20628,49.98,0,0,23.32,0,0,0,13.41,0,13.28,99.99
2.97,20629,45.46,0,0,21.21,0,0,0,9.14,0,24.16,99.97
3.02,20630,41.69,0,0,19.45,0,0,0,5.59,0,33.24,99.97
3.11,20631,38.5,0,0,17.97,0,0,0,2.58,0,40.93,99.98
3.11,20632,35.77,0,0,16.69,0,0,0,0,0,47.53,99.99
2.43,20655,74.22,0,0,0,0,17.75,8.02,0,0,0,99.99
2.39,20676,66.89,16.74,0,0,0,0,16.36,0,0,0,99.99
2.4,20677,65.73,16.45,0,0,0,3.33,14.47,0,0,0,99.98
2.41,20678,65.35,16.36,0,0,0,4.42,13.85,0,0,0,99.98
2.43,20679,63.54,15.9,0,0,0,9.67,10.87,0,0,0,99.98
2.48,20680,56.89,14.24,0,0,0,28.86,0,0,0,0,99.99
2.39,20702,78.5,0,11.37,0,0,10.12,0,0,0,0,99.99
2.29,20703,62.33,0,27.77,0,0,9.89,0,0,0,0,99.99
2.23,20704,53.69,0,36.53,0,0,9.76,0,0,0,0,99.98
2.16,20705,36.95,0,53.51,0,0,9.52,0,0,0,0,99.98
2.39,20707,65.66,0,22.37,0,0,11.95,0,0,0,0,99.98
2.44,20708,73.25,0,14.14,0,0,12.59,0,0,0,0,99.98
2.45,20711,72.21,0,14.69,0,0,13.08,0,0,0,0,99.98
2.38,20716,53.23,0,33.04,0,0,13.72,0,0,0,0,99.99
2.48,20719,68.05,0,16.89,0,0,15.04,0,0,0,0,99.98
2.44,20720,57.44,0,27.73,0,0,14.81,0,0,0,0,99.98
2.33,20721,42.12,0,43.38,0,0,14.48,0,0,0,0,99.98
2.48,20722,61.72,0,22.35,0,0,15.91,0,0,0,0,99.98
2.5,20725,64.54,0,18.75,0,0,16.69,0,0,0,0,99.98
2.5,20726,66.07,0,16.88,0,0,17.03,0,0,0,0,99.98
2.49,20728,68.26,0,14.12,0,0,17.6,0,0,0,0,99.98
2.5,20729,62.9,0,19.62,0,0,17.47,0,0,0,0,99.99
2.46,20730,49.85,0,33,0,0,17.14,0,0,0,0,99.99
2.48,20732,70.48,0,11.34,0,0,18.17,0,0,0,0,99.99
2.44,20736,74.95,0,5.71,0,0,19.32,0,0,0,0,99.98
2.52,20737,59.83,0,21.24,0,0,18.91,0,0,0,0,99.98
2.52,20739,57.8,0,22.32,0,0,19.87,0,0,0,0,99.99
2.53,20740,55.77,0,23.39,0,0,20.83,0,0,0,0,99.99
2.53,20742,52.74,0,25,0,0,22.25,0,0,0,0,99.99
2.54,20743,51.73,0,25.53,0,0,22.73,0,0,0,0,99.99
2.54,20745,49.72,0,26.59,0,0,23.67,0,0,0,0,99.98
2.54,20746,47.72,0,27.65,0,0,24.61,0,0,0,0,99.98
2.54,20747,42.76,0,30.28,0,0,26.95,0,0,0,0,99.99
2.54,20748,37.84,0,32.88,0,0,29.27,0,0,0,0,99.99
2.52,20749,31.41,0,36.28,0,0,32.3,0,0,0,0,99.99
2.42,20883,74.58,0,10.8,0,14.61,0,0,0,0,0,99.99
2.43,20884,71.52,0,12.1,0,16.37,0,0,0,0,0,99.99
2.45,20885,68.75,0,13.27,0,17.96,0,0,0,0,0,99.98
2.48,20886,63.12,0,15.67,0,21.2,0,0,0,0,0,99.99
2.49,20887,59.39,0,17.25,0,23.34,0,0,0,0,0,99.98
2.49,20888,58.31,0,17.71,0,23.96,0,0,0,0,0,99.98
2.49,20889,57.66,0,17.99,0,24.34,0,0,0,0,0,99.99
2.49,20890,56.17,0,18.62,0,25.2,0,0,0,0,0,99.99
2.5,20891,54.48,0,19.34,0,26.17,0,0,0,0,0,99.99
2.5,20892,50.32,0,21.11,0,28.56,0,0,0,0,0,99.99
2.49,20893,48.28,0,21.97,0,29.73,0,0,0,0,0,99.98
2.49,20894,47.27,0,22.4,0,30.31,0,0,0,0,0,99.98
2.48,20895,46.26,0,22.83,0,30.89,0,0,0,0,0,99.98
2.48,420726,44.27,0,23.68,0,32.03,0,0,0,0,0,99.98
2.46,20896,37.5,0,26.55,0,35.93,0,0,0,0,0,99.98
2.47,20897,47.86,0,14.67,0,37.45,0,0,0,0,0,99.98
2.48,20898,43.14,0,23.03,0,33.81,0,0,0,0,0,99.98
2.48,420727,42.31,0,24.51,0,33.16,0,0,0,0,0,99.98
2.48,20899,39.57,0,29.46,0,30.95,0,0,0,0,0,99.98
2.48,20901,58.32,0,11.24,0,30.43,0,0,0,0,0,99.99
2.3,20902,39.17,0,40.35,0,20.47,0,0,0,0,0,99.99
2.41,20903,69.5,0,3.22,0,27.27,0,0,0,0,0,99.99
2.43,20904,68.11,0,5.19,0,26.69,0,0,0,0,0,99.99
2.44,20905,67.16,0,6.43,0,26.39,0,0,0,0,0,99.98
2.44,20906,65.04,0,9.43,0,25.52,0,0,0,0,0,99.99
2.47,20907,64.39,0,10.36,0,25.23,0,0,0,0,0,99.98
2.49,20908,61.26,0,14.79,0,23.94,0,0,0,0,0,99.99
2.49,20909,60.69,0,15.51,0,23.78,0,0,0,0,0,99.98
2.49,20910,59.39,0,17.25,0,23.34,0,0,0,0,0,99.98
2.49,20911,58.85,0,18.08,0,23.06,0,0,0,0,0,99.99
2.48,20912,57.92,0,19.3,0,22.77,0,0,0,0,0,99.99
2.47,20913,57.01,0,20.64,0,22.34,0,0,0,0,0,99.99
2.46,20914,55.9,0,22.17,0,21.91,0,0,0,0,0,99.98
2.44,20915,54.71,0,23.81,0,21.47,0,0,0,0,0,99.99
2.42,20916,53.34,0,25.75,0,20.9,0,0,0,0,0,99.99
2.38,20917,50.68,0,29.41,0,19.89,0,0,0,0,0,99.98
2.35,20918,49.68,0,30.84,0,19.47,0,0,0,0,0,99.99
2.31,20919,47.32,0,34.19,0,18.47,0,0,0,0,0,99.98
2.21,20920,43.64,0,42.11,0,14.24,0,0,0,0,0,99.99
2.16,20921,35.2,0,50.99,0,13.79,0,0,0,0,0,99.98
2.46,20922,68.57,0,12.5,0,18.92,0,0,0,0,0,99.99
2.45,20924,67.61,0,13.76,0,18.62,0,0,0,0,0,99.99
2.45,20925,67.38,0,13.86,0,18.75,0,0,0,0,0,99.99
2.5,20926,52.38,0,20.23,0,27.37,0,0,0,0,0,99.98
2.48,20927,42.31,0,24.51,0,33.16,0,0,0,0,0,99.98
