DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.44,20443,99.98,0.0,49.697933998564814,12.496248204538928,0.0,16.94331612807338,0.0,0.0,6.639617694703044,14.200743792024497,0.0,0.0
2.44,20444,99.97,0.0,49.120264452098844,12.350293019247344,0.0,19.54167867000722,0.0,0.0,4.9185100911599084,14.037140752945875,0.0,0.0
2.43,20445,99.98,0.0,48.565307519953706,12.21054869290434,0.0,22.081930867552764,0.0,0.0,3.241913891156682,13.878212086412354,0.0,0.0
2.42,20446,99.99,0.0,48.023587704312376,12.073909796035624,0.0,24.56407272071001,0.0,0.0,1.6024105274367124,13.723957792423938,0.0,0.0
2.42,20447,99.99,0.0,48.023587704312376,12.073909796035624,0.0,24.56407272071001,0.0,0.0,1.6024105274367124,13.723957792423938,0.0,0.0
2.42,20448,99.99,0.0,47.4897794609368,11.940376328641197,0.0,26.988104229478957,0.0,0.0,0.0,13.569703498435523,0.0,0.0
2.48,20449,99.99,0.0,51.242698944693444,13.399928181557025,0.0,0.0,0.0,0.0,23.724578086771324,11.620490147127354,0.0,0.0
2.47,20450,99.98,0.0,49.199857144362184,12.865794311979316,0.0,9.654618646227016,0.0,0.0,17.099797526581582,11.157727265162105,0.0,0.0
2.47,20451,99.98,0.0,48.27381200811076,12.623570812984775,0.0,14.037798908658543,0.0,0.0,14.095277787637748,10.947380500632448,0.0,0.0
2.46,20452,99.98,0.0,47.29491395657105,12.368925596093076,0.0,18.678324981952525,0.0,0.0,10.912712434534278,10.723010618467478,0.0,0.0
2.45,20453,99.98,0.0,45.89937405005337,12.002484918126976,0.0,25.286301286678842,0.0,0.0,6.379967840720243,10.409827657945542,0.0,0.0
2.45,20454,99.98,0.0,44.69710442228464,11.688836541223788,0.0,30.972813558962166,0.0,0.0,2.4852200309782346,10.134039677784434,0.0,0.0
2.45,20455,99.98,0.0,43.934616530251745,11.49008905486929,0.0,34.59225786657608,0.0,0.0,0.0,9.961087893615604,0.0,0.0
2.17,144578,99.99,0.0,55.397558839621155,6.962372881355933,0.0,0.0,0.0,0.0,3.7018650610690718,33.92659593236136,0.0,0.0
2.22,144579,99.99,0.0,54.84989722306125,6.959267451881644,0.0,0.0,0.0,0.0,5.17815994514271,33.00107016843086,0.0,0.0
2.27,144580,99.98,0.0,54.295341466886285,6.953056592933065,0.0,0.0,0.0,0.0,6.6544548292163475,32.07554440450036,0.0,0.0
2.32,20456,99.99,0.0,53.753005394564454,6.949951163458777,0.0,0.0,0.0,0.0,8.130749713289985,31.154693013114972,0.0,0.0
2.31,20457,99.98,0.0,53.062783905546596,6.859893708704396,0.0,3.0964512081192406,0.0,0.0,6.201922226560608,30.757371346781166,0.0,0.0
